variableMetadata	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	bio	blank	isotopes	adduct	pcgroup	fold	tstat	pvalue	blank_mean	blank_sd	blank_CV	sample_mean	sample_sd	sample_CV	blankMean_over_sampleMean	pool_mean	pool_sd	pool_CV	poolCV_over_sampleCV
M197.0445T364	197.0444672	197.0402865	197.0455124	364.4138257	362.5677555	387.6720912	244	208	0	[125][M]-		972	56.35286551	-13.5614842	0	9114.823015	13271.09655	1.455990591	2.724696569	0.393879844	0.144559159	3345.261678	474198.1874	35265.19679	0.074368055	0.514447202
M197.0452T430	197.0452197	197.043422	197.0452197	430.02737	420.8284343	430.890482	59	59	0			3026	4.763073376	-4.547903375	9.09E-06	6838.914976	12053.26506	1.762452831	1.109276861	0.836715618	0.754289256	6165.201149	27379.97146	6713.669441	0.245203668	0.325079094
M197.0445T225	197.0444672	197.043422	197.0462649	225.0812296	217.8420037	228.8425644	210	209	0	[126][M]-		3332	152.4924751	-17.89331334	0	21074.31437	30100.4887	1.428302158	3.573288385	0.198117834	0.055444121	5897.736791	2924854.638	212924.3279	0.07279826	1.313002322
M197.0452T325	197.0452197	197.0413317	197.0473101	325.3917123	295.0922139	343.3555028	71	64	0			4100	7.036780128	-6.721998457	1.43E-10	9497.430644	15761.04429	1.659506122	1.510733309	0.789159325	0.522368389	6286.636158	59731.14991	12320.92744	0.206273066	0.394880453
M197.056T196	197.055965	197.0535816	197.0580556	195.8195587	191.1060085	202.2852388	186	185	0		[M-H+HCOOH]- 152.058	50	25.94547374	-16.11908536	0	58576.49469	77106.60311	1.316340343	3.234014035	0.289829326	0.089619069	18112.62847	1537628.29	256729.47	0.166964585	1.863047537
M197.0578T272	197.0577628	197.0538744	197.0591009	271.8282664	255.830643	279.1389502	153	140	0		[M+Cl]- 162.089	207	4.1601337	-7.497807558	5.00E-12	15587.66844	18082.61801	1.160059189	1.717762866	0.522397694	0.30411514	9074.400634	57581.4914	10263.02382	0.178234769	0.586076607
M197.0549T296	197.0549197	197.0538744	197.0556722	296.442978	295.5087704	297.306168	100	100	0	[124][M+2]-		103	4.010295871	-8.87306197	1.84E-13	8729.352671	10439.30556	1.195885418	1.562711859	0.419503265	0.268445691	5586.028301	36391.88512	5323.873694	0.14629288	0.54496267
M197.0672T259	197.0671709	197.065373	197.0695545	258.9696014	238.6215861	260.6626089	209	202	0	[127][M]-		2943	56.73633386	-14.86302685	0	29971.33471	36018.31595	1.201758824	3.189983351	0.459019139	0.143893898	9395.451766	1754747.32	60668.23129	0.034573771	0.240272667
M197.0672T64	197.0671709	197.0622369	197.0703071	64.00844015	52.05910574	94.52029902	228	163	13			8	3.33866028	-3.653733571	0.00031973	151070.4658	159525.6787	1.055968668	2.583117445	0.431993444	0.167237245	58483.77747	303367.9723	67374.34968	0.222087879	1.327980976
M197.0672T156	197.0671709	197.0643276	197.0692617	156.3514422	152.5137956	159.95761	143	142	0			125	35.55247116	-11.1175211	0	65713.09684	74758.92986	1.137656471	3.28993502	0.424680973	0.129084912	19973.98017	2186965.306	421193.5262	0.192592688	1.491984496
